participant_code,condition_code,condition_name,condition_hz,condition_type,stimulus_type,trialn,png_filename,focal_x_norm,focal_y_norm,detail_raw,detail,r_directionality_raw,r_directionality,theta_directionality_raw,theta_directionality,brightness_raw,brightness,contrast_raw,contrast
QSJ9035,3,10 Hz,10.0,EXPERIMENTAL,LIGHT,14,saveTime_2510241855__sessionTime_202510241700__participant_QSJ9035__trialN_14__trialT_3__fileType_uncropped.png,0.0,0.0,0.02297163,1.0484723,0.4128655,0.57074624,0.36282814,0.46478325,0.9622431,0.9622431,0.09650298,0.09650298
TFS7671,3,10 Hz,10.0,EXPERIMENTAL,LIGHT,14,saveTime_2510241855__sessionTime_202510241700__participant_TFS7671__trialN_14__trialT_3__fileType_cropped.png,0.0,0.0,0.0016021543,0.07312561,0.27131963,0.3750729,0.30350047,0.38878444,0.32897002,0.32897002,0.38527328,0.38527328
TFS7671,3,10 Hz,10.0,EXPERIMENTAL,LIGHT,14,saveTime_2510241855__sessionTime_202510241700__participant_TFS7671__trialN_14__trialT_3__fileType_uncropped.png,0.0,0.0,0.0016410033,0.07489876,0.27069235,0.37420577,0.30453154,0.39010525,0.3346889,0.3346889,0.38713586,0.38713586
CFH2412,1,2.5 Hz,2.5,EXPERIMENTAL,LIGHT,15,saveTime_2510241857__sessionTime_202510241700__participant_CFH2412__trialN_15__trialT_1__fileType_cropped.png,0.0,0.0,0.00089145487,0.04068783,0.7519827,1.0395427,0.04775324,0.061171953,0.21759668,0.21759668,0.02998564,0.02998564
CFH2412,1,2.5 Hz,2.5,EXPERIMENTAL,LIGHT,15,saveTime_2510241857__sessionTime_202510241700__participant_CFH2412__trialN_15__trialT_1__fileType_uncropped.png,0.0,0.0,0.00090177584,0.0411589,0.7508338,1.0379544,0.048740424,0.062436536,0.21772443,0.21772443,0.030002741,0.030002741
QSJ9035,1,2.5 Hz,2.5,EXPERIMENTAL,LIGHT,15,saveTime_2510241857__sessionTime_202510241700__participant_QSJ9035__trialN_15__trialT_1__fileType_cropped.png,0.0,0.0,0.0008460021,0.03861327,0.52290314,0.7228626,0.14202832,0.18193842,0.99743444,0.99743444,0.008045059,0.008045059
QSJ9035,1,2.5 Hz,2.5,EXPERIMENTAL,LIGHT,15,saveTime_2510241857__sessionTime_202510241700__participant_QSJ9035__trialN_15__trialT_1__fileType_uncropped.png,0.0,0.0,0.0008752254,0.039947085,0.5227914,0.7227081,0.14218475,0.18213882,0.9973259,0.9973259,0.008196269,0.008196269
BOE4754,1,2.5 Hz,2.5,EXPERIMENTAL,LIGHT,15,saveTime_2510241858__sessionTime_202510241700__participant_BOE4754__trialN_15__trialT_1__fileType_cropped.png,0.0,0.0,0.00047847844,0.021838738,0.30468407,0.421196,0.3753225,0.48078853,0.93150127,0.93150127,0.090794176,0.090794176
BOE4754,1,2.5 Hz,2.5,EXPERIMENTAL,LIGHT,15,saveTime_2510241858__sessionTime_202510241700__participant_BOE4754__trialN_15__trialT_1__fileType_uncropped.png,0.0,0.0,0.0004855365,0.022160882,0.30570552,0.42260805,0.3786898,0.48510203,0.9335072,0.9335072,0.088686444,0.088686444
JOH8800,1,2.5 Hz,2.5,EXPERIMENTAL,LIGHT,14,saveTime_2510241858__sessionTime_202510241700__participant_JOH8800__trialN_14__trialT_1__fileType_cropped.png,0.0,0.0,0.0002901371,0.013242452,0.31333038,0.43314868,0.26218736,0.3358623,0.30866823,0.30866823,0.20788103,0.20788103
JOH8800,1,2.5 Hz,2.5,EXPERIMENTAL,LIGHT,14,saveTime_2510241858__sessionTime_202510241700__participant_JOH8800__trialN_14__trialT_1__fileType_uncropped.png,0.0,0.0,0.00030219517,0.013792807,0.31705496,0.43829754,0.25931266,0.3321798,0.31226984,0.31226984,0.21149313,0.21149313
OBW4271,1,2.5 Hz,2.5,EXPERIMENTAL,LIGHT,15,saveTime_2510241858__sessionTime_202510241700__participant_OBW4271__trialN_15__trialT_1__fileType_cropped.png,0.0,0.0,0.00027424342,0.012517032,0.8166057,1.1288776,0.021667432,0.027756004,0.91888314,0.91888314,0.13156505,0.13156505
OBW4271,1,2.5 Hz,2.5,EXPERIMENTAL,LIGHT,15,saveTime_2510241858__sessionTime_202510241700__participant_OBW4271__trialN_15__trialT_1__fileType_uncropped.png,0.0,0.0,0.00027659294,0.012624269,0.8264966,1.142551,0.02148152,0.02751785,0.9193922,0.9193922,0.12905076,0.12905076
TFS7671,1,2.5 Hz,2.5,EXPERIMENTAL,LIGHT,15,saveTime_2510241858__sessionTime_202510241700__participant_TFS7671__trialN_15__trialT_1__fileType_cropped.png,0.0,0.0,0.00023419224,0.010689015,0.027839761,0.038485754,0.5376426,0.68872076,0.52252597,0.52252597,0.39052987,0.39052987
TFS7671,1,2.5 Hz,2.5,EXPERIMENTAL,LIGHT,15,saveTime_2510241858__sessionTime_202510241700__participant_TFS7671__trialN_15__trialT_1__fileType_uncropped.png,0.0,0.0,0.0002367361,0.010805122,0.02590113,0.035805784,0.54064566,0.6925677,0.53871584,0.53871584,0.39045787,0.39045787
TIF3698,1,2.5 Hz,2.5,EXPERIMENTAL,LIGHT,15,saveTime_2510241858__sessionTime_202510241700__participant_TIF3698__trialN_15__trialT_1__fileType_cropped.png,0.0,0.0,0.012568067,0.57363236,0.27447498,0.37943488,0.32327306,0.41411313,0.5264191,0.5264191,0.40199947,0.40199947
TIF3698,1,2.5 Hz,2.5,EXPERIMENTAL,LIGHT,15,saveTime_2510241858__sessionTime_202510241700__participant_TIF3698__trialN_15__trialT_1__fileType_uncropped.png,0.0,0.0,0.012846799,0.58635426,0.27874568,0.3853387,0.31317294,0.40117487,0.5465927,0.5465927,0.39631674,0.39631674
BOE4754,4,15 Hz,15.0,EXPERIMENTAL,LIGHT,16,saveTime_2510241901__sessionTime_202510241700__participant_BOE4754__trialN_16__trialT_4__fileType_cropped.png,0.0,0.0,0.0007935107,0.036217455,0.63389456,0.87629735,0.050184343,0.064286195,0.75249076,0.75249076,0.18578689,0.18578689
BOE4754,4,15 Hz,15.0,EXPERIMENTAL,LIGHT,16,saveTime_2510241901__sessionTime_202510241700__participant_BOE4754__trialN_16__trialT_4__fileType_uncropped.png,0.0,0.0,0.000804326,0.03671109,0.6315818,0.87310016,0.05083059,0.06511404,0.7497573,0.7497573,0.18577756,0.18577756
OBW4271,4,15 Hz,15.0,EXPERIMENTAL,LIGHT,16,saveTime_2510241902__sessionTime_202510241700__participant_OBW4271__trialN_16__trialT_4__fileType_cropped.png,0.0,0.0,0.00067207497,0.03067488,0.25280398,0.34947684,0.337997,0.43297452,0.8035739,0.8035739,0.0884092,0.0884092
OBW4271,4,15 Hz,15.0,EXPERIMENTAL,LIGHT,16,saveTime_2510241902__sessionTime_202510241700__participant_OBW4271__trialN_16__trialT_4__fileType_uncropped.png,0.0,0.0,0.00068036345,0.031053184,0.25159696,0.34780824,0.34159207,0.4375798,0.80210876,0.80210876,0.08754288,0.08754288
QSJ9035,4,15 Hz,15.0,EXPERIMENTAL,LIGHT,16,saveTime_2510241902__sessionTime_202510241700__participant_QSJ9035__trialN_16__trialT_4__fileType_cropped.png,0.0,0.0,0.0035904995,0.16387777,0.39484164,0.54583,0.28140455,0.36047953,0.9828158,0.9828158,0.0363254,0.0363254
QSJ9035,4,15 Hz,15.0,EXPERIMENTAL,LIGHT,16,saveTime_2510241902__sessionTime_202510241700__participant_QSJ9035__trialN_16__trialT_4__fileType_uncropped.png,0.0,0.0,0.0037108269,0.16936976,0.39682016,0.54856515,0.2806801,0.3595515,0.9821603,0.9821603,0.036887176,0.036887176
TIF3698,4,15 Hz,15.0,EXPERIMENTAL,LIGHT,16,saveTime_2510241902__sessionTime_202510241700__participant_TIF3698__trialN_16__trialT_4__fileType_cropped.png,0.0,0.0,0.0014322979,0.06537301,0.3112684,0.43029818,0.26088142,0.3341894,0.73053366,0.73053366,0.14214697,0.14214697
TIF3698,4,15 Hz,15.0,EXPERIMENTAL,LIGHT,16,saveTime_2510241902__sessionTime_202510241700__participant_TIF3698__trialN_16__trialT_4__fileType_uncropped.png,0.0,0.0,0.001454251,0.066375,0.30681562,0.42414266,0.26661444,0.3415334,0.72789955,0.72789955,0.14231564,0.14231564
CFH2412,4,15 Hz,15.0,EXPERIMENTAL,LIGHT,16,saveTime_2510241903__sessionTime_202510241700__participant_CFH2412__trialN_16__trialT_4__fileType_cropped.png,0.0,0.0,0.015174145,0.6925791,0.3065416,0.42376384,0.23235369,0.29764533,0.793545,0.793545,0.18015179,0.18015179
CFH2412,4,15 Hz,15.0,EXPERIMENTAL,LIGHT,16,saveTime_2510241903__sessionTime_202510241700__participant_CFH2412__trialN_16__trialT_4__fileType_uncropped.png,0.0,0.0,0.015480179,0.70654714,0.30490774,0.42150518,0.23347294,0.2990791,0.79020417,0.79020417,0.18098351,0.18098351
JOH8800,4,15 Hz,15.0,EXPERIMENTAL,LIGHT,15,saveTime_2510241903__sessionTime_202510241700__participant_JOH8800__trialN_15__trialT_4__fileType_cropped.png,0.0,0.0,0.0037583394,0.17153832,0.2910546,0.4023546,0.29184863,0.37385842,0.4808301,0.4808301,0.1802704,0.1802704
JOH8800,4,15 Hz,15.0,EXPERIMENTAL,LIGHT,15,saveTime_2510241903__sessionTime_202510241700__participant_JOH8800__trialN_15__trialT_4__fileType_uncropped.png,0.0,0.0,0.0038593377,0.17614809,0.2896049,0.4003505,0.29258937,0.3748073,0.4763843,0.4763843,0.18106362,0.18106362
