participant_code,condition_code,condition_name,condition_hz,condition_type,stimulus_type,trialn,png_filename
P396,1,2.5 Hz,2.5,EXPERIMENTAL,LIGHT,4,saveTime_2510261701__sessionTime_202510261600__participant_P396__trialN_4__trialT_1__fileType_cropped.png
P397,1,2.5 Hz,2.5,EXPERIMENTAL,LIGHT,4,saveTime_2510261701__sessionTime_202510261600__participant_P397__trialN_4__trialT_1__fileType_cropped.png
P398,1,2.5 Hz,2.5,EXPERIMENTAL,LIGHT,4,saveTime_2510261701__sessionTime_202510261600__participant_P398__trialN_4__trialT_1__fileType_cropped.png
P344453,4,15 Hz,15.0,EXPERIMENTAL,LIGHT,5,saveTime_2510261703__sessionTime_202510261600__participant_P344453__trialN_5__trialT_4__fileType_cropped.png
P395,4,15 Hz,15.0,EXPERIMENTAL,LIGHT,5,saveTime_2510261704__sessionTime_202510261600__participant_P395__trialN_5__trialT_4__fileType_cropped.png
P393,4,15 Hz,15.0,EXPERIMENTAL,LIGHT,5,saveTime_2510261704__sessionTime_202510261600__participant_P393__trialN_5__trialT_4__fileType_cropped.png
P394,4,15 Hz,15.0,EXPERIMENTAL,LIGHT,5,saveTime_2510261704__sessionTime_202510261600__participant_P394__trialN_5__trialT_4__fileType_cropped.png
P391,4,15 Hz,15.0,EXPERIMENTAL,LIGHT,5,saveTime_2510261705__sessionTime_202510261600__participant_P391__trialN_5__trialT_4__fileType_cropped.png
P396,4,15 Hz,15.0,EXPERIMENTAL,LIGHT,5,saveTime_2510261705__sessionTime_202510261600__participant_P396__trialN_5__trialT_4__fileType_cropped.png
P397,4,15 Hz,15.0,EXPERIMENTAL,LIGHT,5,saveTime_2510261705__sessionTime_202510261600__participant_P397__trialN_5__trialT_4__fileType_cropped.png
P392,4,15 Hz,15.0,EXPERIMENTAL,LIGHT,5,saveTime_2510261705__sessionTime_202510261600__participant_P392__trialN_5__trialT_4__fileType_cropped.png
P398,4,15 Hz,15.0,EXPERIMENTAL,LIGHT,5,saveTime_2510261705__sessionTime_202510261600__participant_P398__trialN_5__trialT_4__fileType_cropped.png
P391,B00,,,VALIDATION,IMAGE,6,saveTime_2510261716__sessionTime_202510261600__participant_P391__trialN_6__trialT_B00__fileType_cropped.png
P395,B08,,,VALIDATION,IMAGE,6,saveTime_2510261716__sessionTime_202510261600__participant_P395__trialN_6__trialT_B08__fileType_cropped.png
P392,B01,,,VALIDATION,IMAGE,6,saveTime_2510261716__sessionTime_202510261600__participant_P392__trialN_6__trialT_B01__fileType_cropped.png
P393,B07,,,VALIDATION,IMAGE,6,saveTime_2510261716__sessionTime_202510261600__participant_P393__trialN_6__trialT_B07__fileType_cropped.png
P398,B12,,,VALIDATION,IMAGE,6,saveTime_2510261716__sessionTime_202510261600__participant_P398__trialN_6__trialT_B12__fileType_cropped.png
P396,B05,,,VALIDATION,IMAGE,6,saveTime_2510261717__sessionTime_202510261600__participant_P396__trialN_6__trialT_B05__fileType_cropped.png
P397,B07,,,VALIDATION,IMAGE,6,saveTime_2510261717__sessionTime_202510261600__participant_P397__trialN_6__trialT_B07__fileType_cropped.png
P394,B07,,,VALIDATION,IMAGE,6,saveTime_2510261717__sessionTime_202510261600__participant_P394__trialN_6__trialT_B07__fileType_cropped.png
P344453,B03,,,VALIDATION,IMAGE,6,saveTime_2510261717__sessionTime_202510261600__participant_P344453__trialN_6__trialT_B03__fileType_cropped.png
P391,5,20 Hz,20.0,EXPERIMENTAL,LIGHT,7,saveTime_2510261720__sessionTime_202510261600__participant_P391__trialN_7__trialT_5__fileType_cropped.png
P392,5,20 Hz,20.0,EXPERIMENTAL,LIGHT,7,saveTime_2510261720__sessionTime_202510261600__participant_P392__trialN_7__trialT_5__fileType_cropped.png
P344453,5,20 Hz,20.0,EXPERIMENTAL,LIGHT,7,saveTime_2510261720__sessionTime_202510261600__participant_P344453__trialN_7__trialT_5__fileType_cropped.png
P395,5,20 Hz,20.0,EXPERIMENTAL,LIGHT,7,saveTime_2510261721__sessionTime_202510261600__participant_P395__trialN_7__trialT_5__fileType_cropped.png
P396,5,20 Hz,20.0,EXPERIMENTAL,LIGHT,7,saveTime_2510261721__sessionTime_202510261600__participant_P396__trialN_7__trialT_5__fileType_cropped.png
P397,5,20 Hz,20.0,EXPERIMENTAL,LIGHT,7,saveTime_2510261721__sessionTime_202510261600__participant_P397__trialN_7__trialT_5__fileType_cropped.png
P393,5,20 Hz,20.0,EXPERIMENTAL,LIGHT,7,saveTime_2510261721__sessionTime_202510261600__participant_P393__trialN_7__trialT_5__fileType_cropped.png
P394,5,20 Hz,20.0,EXPERIMENTAL,LIGHT,7,saveTime_2510261721__sessionTime_202510261600__participant_P394__trialN_7__trialT_5__fileType_cropped.png
P398,5,20 Hz,20.0,EXPERIMENTAL,LIGHT,7,saveTime_2510261721__sessionTime_202510261600__participant_P398__trialN_7__trialT_5__fileType_cropped.png
P344453,3,10 Hz,10.0,EXPERIMENTAL,LIGHT,8,saveTime_2510261723__sessionTime_202510261600__participant_P344453__trialN_8__trialT_3__fileType_cropped.png
P395,3,10 Hz,10.0,EXPERIMENTAL,LIGHT,8,saveTime_2510261724__sessionTime_202510261600__participant_P395__trialN_8__trialT_3__fileType_cropped.png
P397,3,10 Hz,10.0,EXPERIMENTAL,LIGHT,8,saveTime_2510261724__sessionTime_202510261600__participant_P397__trialN_8__trialT_3__fileType_cropped.png
P392,3,10 Hz,10.0,EXPERIMENTAL,LIGHT,8,saveTime_2510261724__sessionTime_202510261600__participant_P392__trialN_8__trialT_3__fileType_cropped.png
P394,3,10 Hz,10.0,EXPERIMENTAL,LIGHT,8,saveTime_2510261724__sessionTime_202510261600__participant_P394__trialN_8__trialT_3__fileType_cropped.png
P391,3,10 Hz,10.0,EXPERIMENTAL,LIGHT,8,saveTime_2510261725__sessionTime_202510261600__participant_P391__trialN_8__trialT_3__fileType_cropped.png
P396,3,10 Hz,10.0,EXPERIMENTAL,LIGHT,8,saveTime_2510261725__sessionTime_202510261600__participant_P396__trialN_8__trialT_3__fileType_cropped.png
P393,3,10 Hz,10.0,EXPERIMENTAL,LIGHT,8,saveTime_2510261725__sessionTime_202510261600__participant_P393__trialN_8__trialT_3__fileType_cropped.png
P398,3,10 Hz,10.0,EXPERIMENTAL,LIGHT,8,saveTime_2510261725__sessionTime_202510261600__participant_P398__trialN_8__trialT_3__fileType_cropped.png
P392,5,20 Hz,20.0,EXPERIMENTAL,LIGHT,9,saveTime_2510261728__sessionTime_202510261600__participant_P392__trialN_9__trialT_5__fileType_cropped.png
P394,5,20 Hz,20.0,EXPERIMENTAL,LIGHT,9,saveTime_2510261728__sessionTime_202510261600__participant_P394__trialN_9__trialT_5__fileType_cropped.png
P344453,5,20 Hz,20.0,EXPERIMENTAL,LIGHT,9,saveTime_2510261728__sessionTime_202510261600__participant_P344453__trialN_9__trialT_5__fileType_cropped.png
